LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,180,70,1:00 AM,1,South Boston,C-6,WidescrnTV,Widescreen Television,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,1,South Boston,C-6,Radio,Radio,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,1,South Boston,C-6,CassetteCD,Cassette/CD Player,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,2,South Boston,C-6,TV,"Television (under 27"")",70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,180,0,1:00 AM,1,South Boston,C-6,DVDVCR,DVD/VCR,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132181,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,amrik  pabla,NULL,Bukhara,"Manraj, Inc",amrik  pabla,60,0,60,11:00 PM,1,Jamaica Plain,E-13,CassetteCD,Cassette/CD Player,60,701,703, Centre St,Jamaica Plain,MA,2130,"(42.311590000, -71.114610000)"
CAL-132181,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,amrik  pabla,NULL,Bukhara,"Manraj, Inc",amrik  pabla,60,0,0,11:00 PM,1,Jamaica Plain,E-13,WidescrnTV,Widescreen Television,60,701,703, Centre St,Jamaica Plain,MA,2130,"(42.311590000, -71.114610000)"
CAL-132182,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Shane Sykes,NULL,Starbucks Coffee #22566,Starbucks Corporation,Shane Sykes,40,0,40,11:00pm,1,South Boston,C-6,Radio,Radio,40,28,70,  Northern AV,Boston,MA,2210,"(42.352802000, -71.044535000)"
CAL-132183,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,REMON KARIAN,NULL,Fiorella's Express,"Fiorella's Express, LLC",REMON KARIAN,16,0,16,1:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,16,2,20,  Tremont ST,Brighton,MA,2135,"(42.350490000, -71.168372000)"
CAL-132183,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,REMON KARIAN,NULL,Fiorella's Express,"Fiorella's Express, LLC",REMON KARIAN,16,0,0,1:00 AM,1,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,16,2,20,  Tremont ST,Brighton,MA,2135,"(42.350490000, -71.168372000)"
CAL-132184,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Rebecca Roth,NULL,The Gallows,Henry's Delicatessen,Rebecca Roth,90,0,90,1:00 AM,1,Back Bay/South End,D-4,Radio,Radio,90,1395,1397,  Washington ST,Roxbury,MA,2118,"(42.341360000, -71.070150000)"
CAL-132184,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Rebecca Roth,NULL,The Gallows,Henry's Delicatessen,Rebecca Roth,90,180,0,1:00 AM,1,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,90,1395,1397,  Washington ST,Roxbury,MA,2118,"(42.341360000, -71.070150000)"
CAL-132185,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,SCOTT SHAFFER,NULL,Moogy's,"Moogy's Sandwich Shop, Inc.",SCOTT SHAFFER,76,0,76,11:00 PM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,76,154,,  Chestnut Hill AV,Brighton,MA,2135,"(42.341552000, -71.154278000)"
CAL-132185,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,SCOTT SHAFFER,NULL,Moogy's,"Moogy's Sandwich Shop, Inc.",SCOTT SHAFFER,76,0,0,11:00 PM,1,Allston/Brighton,D-14,Radio,Radio,76,154,,  Chestnut Hill AV,Brighton,MA,2135,"(42.341552000, -71.154278000)"
CAL-132185,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,SCOTT SHAFFER,NULL,Moogy's,"Moogy's Sandwich Shop, Inc.",SCOTT SHAFFER,76,0,0,11:00 PM,4,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,76,154,,  Chestnut Hill AV,Brighton,MA,2135,"(42.341552000, -71.154278000)"
CAL-132186,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Tiffani Faison,NULL,Sweet Cheeks,"Workshop Hospitality 1375, Inc.",Tiffani Faison,133,0,133,2:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,133,1381,, Boylston St,Boston,MA,2215,NULL
CAL-132186,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Tiffani Faison,NULL,Sweet Cheeks,"Workshop Hospitality 1375, Inc.",Tiffani Faison,133,1080,0,2:00 AM,6,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,133,1381,, Boylston St,Boston,MA,2215,NULL
CAL-132186,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Tiffani Faison,NULL,Sweet Cheeks,"Workshop Hospitality 1375, Inc.",Tiffani Faison,133,0,0,2:00 AM,1,Back Bay/South End,D-4,Radio,Radio,133,1381,, Boylston St,Boston,MA,2215,NULL
CAL-132186,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Tiffani Faison,NULL,Sweet Cheeks,"Workshop Hospitality 1375, Inc.",Tiffani Faison,133,180,0,2:00 AM,1,Back Bay/South End,D-4,DVDVCR,DVD/VCR,133,1381,, Boylston St,Boston,MA,2215,NULL
CAL-132187,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Ronald Boyd,NULL,California Pizza Kitchen,California Pizza Kitchen,Ronald Boyd,169,0,0,10:00 PM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,169,8,,  Park PZ,Boston,MA,2116,"(42.351362000, -71.068740000)"
CAL-132187,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Ronald Boyd,NULL,California Pizza Kitchen,California Pizza Kitchen,Ronald Boyd,169,0,0,10:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,169,8,,  Park PZ,Boston,MA,2116,"(42.351362000, -71.068740000)"
CAL-132187,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Ronald Boyd,NULL,California Pizza Kitchen,California Pizza Kitchen,Ronald Boyd,169,0,169,10:00 PM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,169,8,,  Park PZ,Boston,MA,2116,"(42.351362000, -71.068740000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,1000,295,2:00 AM,6,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,16,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,3,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132188,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,THOMAS A KERSHAW,KERSHAW,Cheers at Faneuil Hall,Hampshire House Corporation,THOMAS A KERSHAW,295,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Karaoke,Karaoke,295,200,299,  Faneuil Hall SQ,Boston,MA,2109,"(42.360131000, -71.054954000)"
CAL-132189,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Wai Lam Kwan,NULL,Longhorn Steakhouse,Rare Hospitality International Inc.,Wai Lam Kwan,209,0,0,12:00 AM,3,Back Bay/South End,D-4,TV,"Television (under 27"")",209,201,201,  Brookline AV,Boston,MA,2215,"(42.344238000, -71.102181000)"
CAL-132189,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Wai Lam Kwan,NULL,Longhorn Steakhouse,Rare Hospitality International Inc.,Wai Lam Kwan,209,720,0,12:00 AM,4,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,209,201,201,  Brookline AV,Boston,MA,2215,"(42.344238000, -71.102181000)"
CAL-132189,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Wai Lam Kwan,NULL,Longhorn Steakhouse,Rare Hospitality International Inc.,Wai Lam Kwan,209,0,209,12:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,209,201,201,  Brookline AV,Boston,MA,2215,"(42.344238000, -71.102181000)"
CAL-132190,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Marcia Simmons,NULL,Cosi,Hearthstone Partners LLC,Marcia Simmons,66,0,66,5:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,66,53,,  State ST,Boston,MA,2109,"(42.358750000, -71.056199000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,800,0,2:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,1,Allston/Brighton,D-14,Radio,Radio,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,2,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,1,Allston/Brighton,D-14,TV,"Television (under 27"")",0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,10,Allston/Brighton,D-14,InstVocal,Instrumental/Vocal,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,1,Allston/Brighton,D-14,DJ,Disc Jockey,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,1,Allston/Brighton,D-14,DancingPat,Dancing by Patrons,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132191,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Roger Despres,NULL,Doubletree,"Beau Geste, XXvLLC",Roger Despres,0,0,0,2:00 AM,1,Allston/Brighton,D-14,Karaoke,Karaoke,0,400,,  Soldiers Field RD,Allston,MA,2134,"(42.360020000, -71.118320000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,540,0,1:00 AM,3,South Boston,C-6,WidescrnTV,Widescreen Television,99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,0,99,1:00 AM,1,South Boston,C-6,CassetteCD,Cassette/CD Player,99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,0,0,1:00 AM,1,South Boston,C-6,Radio,Radio,99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,0,0,1:00 AM,1,South Boston,C-6,Jukebox,Jukebox,99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,0,0,1:00 AM,2,South Boston,C-6,TV,"Television (under 27"")",99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132192,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Richard Lindsay,NULL,Dot Tavern,"Dot Tavern, Inc.",Richard Lindsay,99,280,0,1:00 AM,2,South Boston,C-6,AutoAmuse,Auto Amusement Device/Game,99,840,842,  Dorchester AV,Dorchester,MA,2125,"(42.322145000, -71.056400000)"
CAL-132193,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Hao Pei Mei,NULL,Winsor Dim Sum Caf,Chan's Caf Inc.,Hao Pei Mei,60,180,60,2:00 AM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,60,10,,  Tyler ST,Boston,MA,2111,"(42.350980000, -71.060460000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Dartboard,Dartboard,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,4,Downtown/Charlestown/North End,A-1,AutoAmuse,Auto Amusement Device/Game,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,800,90,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,4,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,8,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,5,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132194,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,MATTHEW SULLIVAN,NULL,Porters Bar & Grill,"SB & G, Inc.",MATTHEW SULLIVAN,90,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Karaoke,Karaoke,90,173,179,  Portland ST,Boston,MA,2114,"(42.364374000, -71.061546000)"
CAL-132195,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Frank Pellino,NULL,Pellinos Ristorante,"Franco, LLC",Frank Pellino,38,0,38,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,38,2,,  Prince ST,Boston,MA,2113,"(42.364030000, -71.053630000)"
CAL-132195,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Frank Pellino,NULL,Pellinos Ristorante,"Franco, LLC",Frank Pellino,38,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,38,2,,  Prince ST,Boston,MA,2113,"(42.364030000, -71.053630000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,0,1:00 AM,6,East Boston,A-7,WidescrnTV,Widescreen Television,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,0,1:00 AM,1,East Boston,A-7,CassetteCD,Cassette/CD Player,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,0,1:00 AM,1,East Boston,A-7,Radio,Radio,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,0,1:00 AM,1,East Boston,A-7,DVDVCR,DVD/VCR,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,0,1:00 AM,1,East Boston,A-7,Jukebox,Jukebox,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132196,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Fernando M Falcon,NULL,Cabana Grill,REC Inc.,Fernando M Falcon,88,0,88,1:00 AM,2,East Boston,A-7,InstVocal,Instrumental/Vocal,88,254,256,  Bennington ST,East Boston,MA,2128,"(42.378610000, -71.029360000)"
CAL-132197,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Paolina Di Pietrantonio,NULL,L'Osteria,"L'Osteria, Inc.",Paolina Di Pietrantonio,78,0,78,11:00 PM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,78,104,, Salem St,Boston,MA,2113,"(42.364291000, -71.055638000)"
CAL-132197,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Paolina Di Pietrantonio,NULL,L'Osteria,"L'Osteria, Inc.",Paolina Di Pietrantonio,78,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,78,104,, Salem St,Boston,MA,2113,"(42.364291000, -71.055638000)"
CAL-132197,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Paolina Di Pietrantonio,NULL,L'Osteria,"L'Osteria, Inc.",Paolina Di Pietrantonio,78,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",78,104,, Salem St,Boston,MA,2113,"(42.364291000, -71.055638000)"
